Hour of Day,Users,Sessions,Total Events
2016011716,129,124,8742
2016011717,128,121,7902
2016011718,129,122,5877
2016011719,66,65,3835
2016011720,58,57,2937
2016011721,86,84,4417
2016011722,60,56,2982
2016011723,51,47,1828
2016011800,30,30,1405
2016011801,22,21,1343
2016011802,15,12,1332
2016011803,12,11,531
2016011804,18,17,689
2016011805,45,43,1474
2016011806,65,61,2666
2016011807,111,104,5246
2016011808,239,228,12162
2016011809,252,228,13718
2016011810,233,216,14703
2016011811,160,142,9183
2016011812,145,144,6589
2016011813,112,97,5664
2016011814,96,91,5752
2016011815,106,97,6051
2016011816,110,101,5517
2016011817,114,101,5676
2016011818,57,50,2573
2016011819,40,38,1005
2016011820,41,40,1379
2016011821,33,27,1085
2016011822,27,28,1281
2016011823,23,22,837
2016011900,10,10,295
2016011901,10,10,163
2016011902,5,5,128
2016011903,7,7,89
2016011904,13,15,734
2016011905,24,26,1033
2016011906,50,49,2444
2016011907,95,90,4595
2016011908,231,229,13667
2016011909,309,286,21485
2016011910,324,309,21122
2016011911,370,337,23732
2016011912,287,257,18743
2016011913,225,216,13732
2016011914,183,169,10162
2016011915,157,147,11163
2016011916,161,146,10518
2016011917,142,134,7869
2016011918,63,58,4735
2016011919,32,30,1620
2016011920,40,40,1029
2016011921,41,40,1872
2016011922,26,21,1256
2016011923,21,17,1393
2016012000,13,13,522
2016012001,10,10,164
2016012002,6,4,236
2016012003,6,6,235
2016012004,4,4,22
2016012005,21,21,718
2016012006,44,39,2164
2016012007,68,63,2714
2016012008,135,122,8134
2016012009,136,125,7758
2016012010,125,112,7142
2016012011,111,97,6955
2016012012,101,93,6183
2016012013,80,68,4294
2016012014,65,60,2706
2016012015,68,66,2377
2016012016,71,66,4229
2016012017,68,67,4021
2016012018,35,33,1650
2016012019,26,24,481
2016012020,32,32,621
2016012021,32,32,1074
2016012022,23,21,698
2016012023,11,10,580
2016012100,6,7,54
2016012101,7,7,632
2016012102,1,1,304
2016012103,7,7,341
2016012104,6,7,39
2016012105,13,15,328
2016012106,34,35,1175
2016012107,47,39,1814
2016012108,73,72,3955
2016012109,124,122,6927
2016012110,83,73,5559
2016012111,80,79,4019
2016012112,85,78,4148
2016012113,55,51,2847
2016012114,67,62,3646
2016012115,52,55,2623
2016012116,67,60,2528
2016012117,69,71,4405
2016012118,49,43,2050
2016012119,26,24,1670
2016012120,30,28,711
2016012121,32,29,1109
2016012122,24,24,462
2016012123,15,15,916
2016012200,12,13,231
2016012201,10,7,743
2016012202,5,5,61
2016012203,7,7,100
2016012204,11,10,286
2016012205,18,18,460
2016012206,43,39,1503
2016012207,86,83,3903
2016012208,124,114,5649
2016012209,149,140,7615
2016012210,135,132,7035
2016012211,147,141,8093
2016012212,152,146,8506
2016012213,169,161,10117
2016012214,188,169,10450
2016012215,164,158,8035
2016012216,170,161,7803
2016012217,160,152,9959
2016012218,132,119,6203
2016012219,68,62,2393
2016012220,66,63,3446
2016012221,65,61,2275
2016012222,57,52,1914
2016012223,47,43,1748
2016012300,19,19,843
2016012301,15,15,631
2016012302,13,13,593
2016012303,13,12,575
2016012304,15,13,539
2016012305,26,26,1002
2016012306,51,50,1884
2016012307,72,66,3219
2016012308,174,168,11503
2016012309,219,209,11686
2016012310,189,173,10692
2016012311,142,125,9005
2016012312,140,134,7143
2016012313,121,108,6105
2016012314,116,106,6902
2016012315,124,111,7057
2016012316,99,89,4709
2016012317,97,88,4832
2016012318,63,56,2931
2016012319,52,49,1217
2016012320,41,40,1757
2016012321,46,45,1545
2016012322,38,34,2204
2016012323,21,18,599
2016012400,12,12,448
2016012401,13,11,516
2016012402,4,4,202
2016012404,4,4,97
2016012405,12,12,392
2016012406,30,30,1180
2016012407,38,35,1562
2016012408,80,78,4598
2016012409,95,86,5269
2016012410,101,91,5726
2016012411,105,97,6782
2016012412,68,65,4429
2016012413,62,56,3121
2016012414,44,44,1828
2016012415,43,37,1433
2016012416,52,49,2895
2016012417,67,67,3479
2016012418,58,52,1696
2016012419,32,28,1439
2016012420,33,33,1471
2016012421,32,29,1263
2016012422,34,32,1542
2016012423,21,19,471
2016012500,5,5,152
2016012501,5,4,363
