Date,Sessions
20140513,27
20140514,41
20140515,31
20140516,21
20140517,12
20140518,12
20140519,34
20140520,25
20140521,24
20140522,19
20140523,27
20140524,7
20140525,4
20140526,11
20140527,25
20140528,26
20140529,27
20140530,20
20140531,6
20140601,5
20140602,24
20140603,21
20140604,34
20140605,30
20140606,19
20140607,5
20140608,13
20140609,27
20140610,34
20140611,21
20140612,32
20140613,21
20140614,9
20140615,11
20140616,39
20140617,29
20140618,36
20140619,31
20140620,30
20140621,15
20140622,15
20140623,25
20140624,19
20140625,30
20140626,31
20140627,19
20140628,8
20140629,17
20140630,28
20140701,31
20140702,29
20140703,30
20140704,11
20140705,12
20140706,16
20140707,47
20140708,31
20140709,35
20140710,30
20140711,27
20140712,9
20140713,10
20140714,39
20140715,29
20140716,26
20140717,25
20140718,30
20140719,10
20140720,6
20140721,26
20140722,30
20140723,35
20140724,31
20140725,24
20140726,9
20140727,9
20140728,22
20140729,14
20140730,14
20140731,7
20140801,19
20140802,23
20140803,21
20140804,47
20140805,46
20140806,29
20140807,20
20140808,32
20140809,12
20140810,9
20140811,26
20140812,32
20140813,32
20140814,26
20140815,32
20140816,3
20140817,8
20140818,34
20140819,17
20140820,25
20140821,43
20140822,31
20140823,12
20140824,12
20140825,39
20140826,35
20140827,37
20140828,39
20140829,24
20140830,13
20140831,11
20140901,17
20140902,26
20140903,30
20140904,28
20140905,17
20140906,8
20140907,12
20140908,55
20140909,98
20140910,100
20140911,132
20140912,127
20140913,66
20140914,80
20140915,180
20140916,222
20140917,214
20140918,270
20140919,252
20140920,158
20140921,232
20140922,233
20140923,242
20140924,262
20140925,406
20140926,345
20140927,399
20140928,314
20140929,198
20140930,143
20141001,142
20141002,122
20141003,111
20141004,69
20141005,56
20141006,113
20141007,96
20141008,139
20141009,147
20141010,139
20141011,60
20141012,62
20141013,142
20141014,159
20141015,255
20141016,141
20141017,128
20141018,57
20141019,55
20141020,153
20141021,124
20141022,99
20141023,170
20141024,124
20141025,341
20141026,159
20141027,137
20141028,121
20141029,111
20141030,147
20141031,586
20141101,956
20141102,305
20141103,231
20141104,163
20141105,117
20141106,135
20141107,143
20141108,73
20141109,92
20141110,160
20141111,136
20141112,175
20141113,543
20141114,527
20141115,297
20141116,258
20141117,879
20141118,482
20141119,723
20141120,929
20141121,690
20141122,671
20141123,523
20141124,468
20141125,616
20141126,596
20141127,260
20141128,409
20141129,1412
20141130,1342
20141201,724
20141202,1926
20141203,1513
20141204,774
20141205,591
20141206,359
20141207,269
20141208,405
20141209,401
20141210,856
20141211,4030
20141212,2587
20141213,774
20141214,665
20141215,2088
20141216,1264
20141217,1201
20141218,693
20141219,1679
20141220,926
20141221,647
20141222,601
20141223,523
20141224,1647
20141225,884
20141226,686
20141227,545
20141228,552
20141229,800
20141230,1823
20141231,1026
20150101,481
20150102,450
20150103,377
20150104,402
20150105,403
20150106,370
20150107,291
20150108,308
20150109,280
20150110,227
20150111,270
20150112,369
20150113,284
20150114,251
20150115,276
20150116,352
20150117,258
20150118,212
20150119,250
20150120,258
20150121,238
20150122,254
20150123,242
20150124,180
20150125,184
20150126,299
20150127,495
20150128,221
20150129,220
20150130,221
20150131,149
20150201,152
20150202,307
20150203,254
20150204,264
20150205,319
20150206,1524
20150207,824
20150208,953
20150209,819
20150210,328
20150211,238
20150212,237
20150213,206
20150214,142
20150215,159
20150216,212
20150217,228
20150218,183
20150219,196
20150220,240
20150221,236
20150222,390
20150223,359
20150224,241
20150225,262
20150226,291
20150227,861
20150228,1645
20150301,667
20150302,677
20150303,352
20150304,264
20150305,258
20150306,194
20150307,122
20150308,119
20150309,161
20150310,157
20150311,484
20150312,202
20150313,158
20150314,135
20150315,153
20150316,177
20150317,163
20150318,187
20150319,167
20150320,129
20150321,107
20150322,189
20150323,367
20150324,264
20150325,211
20150326,167
20150327,172
20150328,80
20150329,91
20150330,153
20150331,120
20150401,170
20150402,212
20150403,178
20150404,135
20150405,862
20150406,602
20150407,2045
20150408,639
20150409,292
20150410,205
20150411,135
20150412,99
20150413,178
20150414,302
20150415,215
20150416,148
20150417,172
20150418,107
20150419,108
20150420,180
20150421,233
20150422,235
20150423,232
20150424,407
20150425,783
20150426,183
20150427,160
20150428,134
20150429,130
20150430,127
20150501,118
20150502,68
20150503,111
20150504,166
20150505,145
20150506,301
20150507,857
20150508,477
20150509,152
20150510,112
20150511,203
20150512,229
20150513,209
20150514,675
20150515,712
20150516,208
20150517,257
20150518,277
20150519,270
20150520,289
20150521,342
20150522,300
20150523,210
20150524,131
20150525,190
20150526,176
20150527,150
20150528,139
20150529,147
20150530,92
20150531,68
20150601,202
20150602,143
20150603,146
20150604,247
20150605,206
20150606,111
20150607,78
20150608,135
20150609,251
20150610,300
20150611,172
20150612,130
20150613,80
20150614,71
20150615,153
20150616,152
20150617,151
20150618,162
20150619,154
20150620,81
20150621,92
20150622,171
20150623,160
20150624,160
20150625,160
20150626,144
20150627,101
20150628,120
20150629,144
20150630,155
20150701,180
20150702,192
20150703,154
20150704,193
20150705,149
20150706,231
20150707,266
20150708,327
20150709,337
20150710,173
20150711,74
20150712,76
20150713,145
20150714,146
20150715,151
20150716,151
20150717,177
20150718,165
20150719,148
20150720,267
20150721,327
20150722,165
20150723,190
20150724,207
20150725,95
20150726,128
20150727,204
20150728,185
20150729,173
20150730,209
20150731,192
20150801,126
20150802,138
20150803,176
20150804,198
20150805,153
20150806,159
20150807,202
20150808,96
20150809,113
20150810,160
20150811,155
20150812,158
20150813,146
20150814,150
20150815,95
20150816,109
20150817,143
20150818,145
20150819,166
20150820,189
20150821,169
20150822,106
20150823,77
20150824,133
20150825,165
20150826,154
20150827,160
20150828,154
20150829,130
20150830,84
20150831,146
20150901,152
20150902,147
20150903,168
20150904,186
20150905,108
20150906,81
20150907,166
20150908,148
20150909,134
20150910,144
20150911,140
20150912,108
20150913,146
20150914,244
20150915,232
20150916,271
20150917,169
20150918,138
20150919,80
20150920,81
20150921,147
20150922,139
20150923,137
20150924,138
20150925,116
20150926,61
20150927,76
20150928,146
20150929,140
20150930,211
20151001,352
20151002,155
20151003,110
20151004,178
20151005,169
20151006,133
20151007,152
20151008,129
20151009,113
20151010,58
20151011,64
20151012,129
20151013,133
20151014,132
20151015,271
20151016,369
20151017,327
20151018,165
20151019,188
20151020,167
