Date,Users,Sessions,Total Events
20160424,389,489,23655
20160425,687,864,41142
20160426,494,630,28792
20160427,640,830,39277
20160428,452,589,24481
20160429,386,509,24575
20160430,324,411,19571
20160501,226,277,13585
20160502,250,328,13323
20160503,253,319,12371
20160504,301,390,17268
20160505,587,773,37870
20160506,501,646,30564
20160507,361,458,21573
20160508,248,320,14718
20160509,283,356,15856
20160510,247,318,13033
20160511,209,261,9682
20160512,217,271,11698
20160513,193,253,10777
20160514,161,200,7833
20160515,183,222,11587
20160516,244,298,11814
20160517,214,277,11930
20160518,223,291,12258
20160519,274,331,12921
20160520,1057,1452,81617
20160521,649,811,38427
20160522,267,337,14354
20160523,329,418,18323
20160524,360,467,18260
20160525,442,529,16265
20160526,354,421,13010
20160527,274,359,16456
20160528,168,198,6319
20160529,140,160,6678
20160530,224,299,14965
20160531,218,300,12301
20160601,238,303,11094
20160602,224,284,10607
20160603,220,279,11748
20160604,138,174,7477
20160605,167,217,8745
20160606,185,249,12155
20160607,174,230,8408
20160608,171,216,8403
20160609,179,244,9819
20160610,186,267,10646
20160611,165,207,8764
20160612,154,197,8231
20160613,222,288,12440
20160614,223,291,12352
20160615,260,363,15152
20160616,256,332,16636
20160617,239,319,14604
20160618,192,248,11177
20160619,127,165,8407
20160620,191,246,10856
20160621,192,269,10846
20160622,195,262,10687
20160623,196,264,10440
20160624,213,271,10910
20160625,152,181,8013
20160626,157,191,8199
20160627,217,272,11286
20160628,226,281,9677
20160629,239,310,14491
20160630,241,319,15888
20160701,336,431,17890
20160702,185,234,11833
20160703,196,255,10924
20160704,209,265,11473
20160705,287,384,13453
20160706,259,341,12958
20160707,201,278,11676
20160708,195,263,11732
20160709,145,189,8759
20160710,149,194,6385
20160711,208,282,12505
20160712,172,225,8412
20160713,192,266,10149
20160714,181,240,10293
20160715,174,235,9416
20160716,115,140,4662
20160717,134,168,5828
20160718,194,266,11592
20160719,178,258,10984
20160720,168,237,10584
20160721,180,256,11043
20160722,156,227,9156
20160723,140,176,6645
20160724,154,190,7482
20160725,208,282,12733
20160726,190,285,12688
20160727,189,274,13149
20160728,208,275,9284
20160729,209,287,12705
20160730,166,203,8304
20160731,172,225,8821
20160801,201,274,11068
20160802,207,282,10795
20160803,236,321,12824
20160804,196,265,12055
20160805,198,278,11035
20160806,136,170,6283
20160807,125,158,7781
20160808,190,276,9406
